number,id,reviewText,summary,Label
2383,1589,"My journey towards owning a nook took kind of a strange path. I'd been excited to an e-reader, and when I was asked what I wanted for the holidays, my immediate response was a Kindle. I hadn't done any research, knew nothing about it other than it was the only e-reader I had heard of due to commercials, conversations, etc.When I received my Kindle, I immediately fell in love. I purchased several books using an Amazon Gift Card and carried it everywhere I went. It was the perfect size, the screen was clear and crisp, and it took seconds to set up. I had heard that my local library had a lending library of eBooks, and day after receiving my Kindle I raced over there to renew my library card. That was where my love affair with my Kindle began to fray.After getting my first book via email, I set about working to get it on my Kindle. Needless to say, this led to hours of frustration. I scoured the internet looking for a way to make it work, to get this ePub book to read on my Kindle. After an exhaustive search, I determined that without breaking dozens of international copyright laws are instantly learning how to hack or re-write script. I learned how proprietary the device truly was. In fact, if I wanted to read anything, I would have to purchase it from the Kindle store on Amazon.com.  It was with a heavy heart that I deleted all my purchases from my Kindle, packaged it back up, and sent it back to Amazon. To their credit, Amazon's customer service made the return process extremely easy. Within days I had my complete refund, including for the books I had purchased.Enter the nook. During my research, I had learned that the nook had the capability to do all the things the Kindle had lacked. It was specifically listed on my library's site as a capable e-reader, and allowed me the flexibility of purchasing from other sites, lending books to friends, or previewing books in store. I found a seller on Amazon who was offering the nook for its expected price of $149, not the ridiculous mark-up some of the vendors on this site are asking (in some cases $180???).the seller shipped the device quickly, and it arrived in the prompt fashion we have come to expect of Amazon purchases.I am very, very happy with my choice. While the nook is slightly larger, and perhaps a bit heavier, it performs like a champ. The e-ink screen has the same clarity and crispness of the Kindle, and the page turning feels sharp and quick, no different than flicking a page in its ink and paper counterparts. Setup was quick and easy,  I was able to connect to my WEP-encrypted Wireless network within seconds. I already had a B&N; account, so registration was a breeze, and my first book purchase was quick and easy as well. You have the option of purchasing from the site on your PC or perusing the store right on your nook, and the books arrive within seconds. The reading experience is fantastic, my love of reading ha been renewed after years of growing stale while reading and re-reading the covers on my bookshelves at home. I recommend a cover, of which Barnes and Noble offers a myriad of choices for both practicality and style.The only cons towards the nook that I have discovered thus far:1) The touchscreen, unlike the e-ink screen, has a glossy finish. It took a little getting used to the first time I read my nook. There can be a slight glare, and I recommend setting the touchscreen time out to 10 seconds. After just a few hours of reading, however, I forgot it was even there. I use a book light at night, and all it took was setting up the light so that it didn't reflect off the touch screen.2) The touchscreen is also not what we have come to expect with the advent and popularity of devices like the iPhone and Android. It can be slower than we are used to, but if you got this device primarily for reading as I did, this will be a minor annoyance.And thats really the only downsides I have been able to find thus far. Its also exciting having a brick and mortar storefront to visit with my nook. My first visit to the store with it, I was able to get a free smoothie from the cafe using a coupon from the screen. In fact there are several offers from the store page, including discounts and other offers. Add to this you can read for free in the store, and it just makes for a great experience all around. I stepped into the store, turned on my Nook, and it instantly welcomed me into the store, connecting instantly to their local network and filling me in on current offers.While the Kindle may be the more talked about e-reader, the smart choice is the nook. Until Amazon lifts the proprietary restrictions, the Kindle will always be an extraordinary device with ridiculous limitations on its capabilities. Go with the nook, you'll be happier in the long run.",The Smartest Choice.,"1,3,4"
2384,1602,"First off, I want to start out by saying that I love my Nook. My friend is an employee of B&N; so he was there to help guide me along in my selection and answer any questions I had. So, yes, I did have a little bias to the product to begin with. However, for what I need, this is perfect in almost every single way. In my review I'll compare the Nook to the Kindle ($139 version) and it's major differences, just so people know what I'm talking about in terms of other products as we go down the list.The Bad (If you want to call it that):1. The Nook is a little heavier than the Kindle. I'm not sure of the exact weight differences, but just by feel alone it is a tad bit heavier. Now, that can be a good or bad thing depending on how you look at it. I for one don't find it to be a deal buster, the weight is not catastrophically heavier and uncomfortable, but it is heavier than the Kindle. I do think, however, that the durability of the Nook is a little better compared to the Kindle. The Nook has built in paddles to turn the pages, while the Kindle has flappy paddles along the side that feel as though they could break if I dropped it on it's side or if I touched it to hard. My suggestion for anyone interested in buying the Nook is to also buy a carrying case for it so it makes it easier to read, almost as if you were reading a real book. The covers at B&N; usually start around $30.2. The Nook does have a touch screen that has a bit of glare to it. Some others have posted their reviews of how they dislike the glare when the touch screen goes dark. For me it is a bit distracting if you find yourself wandering away from the text. However, whenever I read a book I find many distractions around me while I read. It's not a huge deal in anyway and some have posted if you turn it to the right angle you won't see your reflection. Again, not a deal buster in anyway I wouldn't think.3. The start up time is atrocious. I can't defend this one in anyway. Amish people can put up houses in a faster amount of time before the Nook would have a chance to get to your homepage. Ok, so not quite that slow, but you get the idea. I haven't timed it yet but I'm going to take an educated guess that it takes around 1-1/2 minutes to start up. That is something that should have been addressed from B&N; to begin with. Again, I can't defend this one in anyway.Ok, so what you have all been waiting for: The Good1. The extra storage feature is superb. The Nook comes with a built in 2GB storage space. Enough for most people, 2GB will get most every book you want to read in your Nook with no problem. However, if you are a fanatic reader that has Newspapers and Magazines delivered to your Nook everyday or every week, this can begin to take up space if you don't free it up. But don't fret! The Nook comes with an extra storage slot for your SD card that can hold up to whatever the highest SD card space is out there. The great thing about it is, SD cards are a lot cheaper today than you would have found 3 years ago, so adding space is cheap.2. The Nook has a featured called \LendMe\. This is something that the Kindle does not have and I'm sure for competition sake will have in the future. This a great, great, great feature to the Nook! If you have any friends, family or co-workers that have a Nook and have a book on theirs that you would like to read, you can hook up wireless or through the computer and Lend them a copy of it for up to 14 days. If you're a fast reader then you can knock out a 500-600 page book in easily 14 days.3. Your county library might be on the list of Nook rentals. In the county in which I reside in North Carolina, our county library is fortunate enough to have a system in which I can rent books for 14 days from the library. This also is something the Kindle does not have. Before I go off on how great the feature for renting books is, I should point out that the library is going to have a limited selection of books for you to rent. I'm a big Thomas Sowell reader and he has approximately 30 books out on the market. However, the county library that I rent from has only 1 book from his selection. So do you're research before you buy a book, your county library might have it already. The feature, as I have seen, is relatively easy to use. You do have to hard wire your Nook to your computer after you download some software, but it's really simple and the kind people at your local county library can assist you on how to do this. In fact our county library had everything we needed in terms of software and directions on their website.4. Finally. You can take your Nook to B&N; and read any book for up to an hour. Recently I went to grab some coffee at B&N; and wanted to read a book on Ireland. Popped open my Nook, connected to the B&N; network (already programmed into your nook for ease), selected the book I wanted to read from the list I searched on, and wam-bam I was reading a book. You can read lots of books on one Nook from their online selection without having to lug 20 actual books that you wanted to compare before you bought.In closing on this review I would say first and foremost do your homework. Go to B&N; or BestBuy and try out the Kindle, Nook and even the Sony Reader. Some will really like the touch screen of the Nook compared to the touchpad of the Kindle, but it's all in what you like. Some will like the fact you can Lend books and some won't.I'm sure I've missed out on something that others would like to know about the product before buying, so if you have any questions please contact me back here on Amazon and I'll try to get to you as quickly as possible.","Great Item, But Does Have a Few Flaws","1,3,4"
1317,1607,I was disappointed with this seller. He knew he was selling a defective product and it was Xmas time. If I had not checked it out first I would have give a bad gift. I think the seller was hoping for this and that I would buy the 25.00 battery. After reading the seller's reviews the defective dreaded has been in circulation a long time.,Beware or sellers trying to make a quick buck on your dime,"2,3"
1318,1612,"The Barnes and Noble customer service for the Nook is the worst customer service I have ever experienced to a tech product. The hold time can be 45 minutes or more and are prone to disconnects.  The problem is not assigned a case number so that when it is not solved and you need to call back you must start again with the new customer service person. The tech was unable to email me a temporary password and tried to blame this on my Mac email account even tough I could send and receive email from others. Basically they could not unlock my Nook so I can not buy books online.  The customer service reps are not fully trained in the vocabulary used on the NOOK screens and the pop up boxes on the Nook that indicate problems block the information needed by the techs to try and solve the problem.Technical support could not solve a simple password issue, I certainly won't keep this Nook out  of fear of a more sizable problem in the future. I'm shopping for a  Kindle now.",customer service,3
110,1619,"The Nook arrived as described and in original packaging looking brand new. All buttons and charging cables work perfectly. The only downside was the previous owner forgot to remove their library and disconnect their account, after doing this the nook updated with my account and has been running perfectly ever since. I highly recommend the nook first edition to anyone who wants a reader but not a tablet. The screen is a great size and very easy on the eyes, while the reader is slow on the searching and web pages, it is rather outdated and this is expected. I highly recommend the Nook","Product in wonderful condition, only needed formatiing.","1,3"
1319,1631,The Nook was in great condition and it even came with a great case. The last user didn't erase their information from the device.  There were no scratches. Thanks.,Great Quality,1
111,1632,"I bought the color Nook for a family member for Christmas. If I didn't already have the iPad and prefer Apple products, I would have purchased one of these for myself. I think it makes a much more user friendly product than Android tablets, and the price is good. Combine a good product at a great price with an already large library available from Barnes & Noble, and you have a real competitor to the iPad and Kindle.",High quality e-reader iPad alternative,1
2385,1633,"I purchased this product on the advise of a coworker.  I downloaded a few free nook books with no problem.  However, the most difficulty was purchasing books.  What an utter disappointment.  This products is extremely slow and international customers are unable to purchase books.  I followed someone's advise of purchasing a gift card.  After three days my efforts were futile.  I also tried purchasing books from other sites and was unable to download.  International customers PLEASE DO NOT PURCHASE this junk.  Save your money.  I'm about to throw this piece of crap into the garbage.",BEWARE INTERNATIONAL CUSTOMERS,"2,3,4"
2386,1634,"I have been working on my fiction writing skills, and wanted an eBook reader so that I could read a variety of other novels to learn from them.  The Kindle is a great device, but I really wanted a color screen.  The iPad would have been a nice option, but was a bit expensive for my taste and a bit too large.  The myriad Android tablets on the market don't seem to get great reviews, though I suspect that will start to change once Android 3.0 is available.The Nook Color was a nice alternative.  Priced a little higher than some of the no-name Asian tablets, but far less than the iPad.  It supports multi-touch, has a decent color display, and the ability to insert micro SD cards into a slot near the \loop\ on the bottom.Because it supports both ePub and PDF out of the box, you can find a nice selection of books to download (legally) on the web and read on the device without additional investment.  The Barnes and Noble site also offers a limited, but growing, selection of electronic books (both free and for-a-price).  If you get tired of reading, you can use the built-in WiFi and browser to surf the web.  You can also play a couple of the built-in games, with the promise of more coming in a future update from Barnes and Noble.My only complaints so far about the device are that the far edges of the touchscreen seem a little unresponsive, the micro-USB connector is a non-standard type that seems to require use of the proprietary cable.  The connector on the device itself seems to make poor contact with that cable, which makes it difficult or impossible to read on the device while it's charging.Apart from that, battery life has been really good.  I rarely have to plug it in before I am finished reading for the day.The built-in web browser works well, displaying pretty much any web site that an iPad or Android phone can handle.The WiFi seems to find and hold on to signals well, and I don't recall it dropping a connection so far.If you take the time to learn how to \root\ the device, you can add the Android Market to it and many apps (like the Kindle app) work very nicely on it.  This gives you the best of both worlds in a sense... The ability to buy eBooks from Amazon and Barnes and Noble, while keeping your color display.As far as eye strain goes, I work at computers 8 or more hours a day on the job and more when I get home.  I find the Nook's display easy to read for hours at a time and don't feel that my eyes are any more strained than when I read a printed paper book.  But your mileage may vary.  If e-Ink works better for you, the Kindle is a great alternative.I like the ability to highlight parts of the books I'm reading, take notes inside the book as I read (e.g., to highlight particularly good dialogue, characterization, description, etc., as a writer), and to post updates to Twitter and Facebook about your progress through a book.All in all, this was my favorite 2010 Christmas gift and has (for me) eliminated any desire to own an iPad or any other eBook reader.",Very nice eReader with tablet functionality,"1,4"
112,1635,"E-reader works well, although I've flashed it with a custom rom.Kindle app works well with custom android, but because I live in europe I haven't been able to install the nook application.The tablet is a bit on the slow side, but workable, the cpu inside isn't as quick as one of the more recent tablets.But I enjoy using it as an e-reader, which is why I bought it in the first place.",Good ereader and tablet,"1,3"
1320,1636,"I spent a month trying to decide what e-Reader to get, and I'm happy I decided on this model for the following reasons:1. I can use it it to display my portfolio (I'm an artist who didn't want to spend $500 on an iPad and wanted something that fit in my purse).2. The Nook Color is the only e-Reader you can read in the dark without a book light. This is VERY handy when you want to read discretely. (Such as at a teacher inservice...) All you do is set the background to \night\ (black), then lower the brightness, and you don't have that glow that shows you're up to something. (I got many jealous looks from other teachers.)3. If I have a problem with it, (which I did; the software was outdated), you get to work with REAL PEOPLE! All you have to do is take it into your nearest Barnes and Noble and they'll work on it--and it didn't take long and they were very friendly.4. The touch screen was easier to navigate than the Kindle when I tested it out against a Kindle at a Wal-Mart.Basically, with a Nook Color, you're getting an eReader that can do everything a tablet can except create documents. (It doesn't run MS Office, etc.) But you can listen to music, watch videos, play games, store and display photos, and of course, read books and documents.Now the only downside:1. The battery life is only good for about 8 hours. But who has time to read for more than 8 hours a day? I know I don't so I just plug it in every-other day before bed.2. The LCD screen does have a glare. (This, however, can be minimized by increasing the brightness when in bright light--so not really much of a problem.)I will tip my hat to the Kindle and I think that if I get a second e-Reader that has a longer battery life, I'd like to get the Kindle with 3G/WiFi.",Great for Artists! Can be read in the Dark.,"1,4"
1321,1638,"The item shipped as promise and arrived beautiful. It was everything i had hoped for and more.  I have downloaded free books from Barnes and Noble as they offer a free book every friday, I have purchased some as well. The brightness of the screen and color are exceptional. The one downside is the slower speeds for internet wi-fi. But I didn't buy it for fast internet speed, just the ability to use it if I needed to.It is easy to read and has enough settings to customize to your liking.I would buy from this shipper again and I love this book reader.",I love this Nook,"1,3"
113,1646,Recently went overseas and took my Nook with me.Had no problems downloading my emails and even a new book.Overall this has been a problem free product for me .,Excellent product,1
2387,1653,My son loves his nook. He is 9 so I disabled web browsing and social media. I wish there was a way to filter the web for kid usage. All in all I'm very satisfied.,Great Buy!,"1,4"
1322,1659,"I purchased two certified nook colors directly from B&N;, for my kids to read ebooks on, and for some entertainment on long trips, Dr's appts, etc.Things I like about the device:-versatility- now has netflix- great little device for entertainment, as well as reading.-user interface:  much improved following the last update, both navigating the device itself and B&N;'s store.-option for expandable storage- handy for music and mp4's.-ability to make the device 'kid friendly'; the internet can be disabled, and purchases can be made to require your account password.Things I dislike about the device:-Read in store feature only for certain books, and virtually no kids' books.  The impression I got from B&N;'s webpage was that it was for all ebooks.  This was the main reason why I picked these up instead of waiting for the Kindle Fire to be released.  Major disappointment.-Charger cable sucks.  The cable itself is weak where the usb adapter attaches to the cable, and is very easy to bend and break.  one cable is now broken at that spot, and the other is close to it.  These cables are easily replaceable, so not a huge deal, but I expected better quality...  Also, the power adapter is quite bulky.-did not update automatically.  I had to manually install the most recent update (allowing me to disable internet, and install netflix). it was relatively easy to do, following directions from B&N;'s webpage, but there should be a way to check for updates from the device itself.-loses battery life fairly quickly while on standby.-no free games & limited games (maybe apple spoiled me...)-prices for apps and books seem generally higher than on my kindle (I have not made direct comparisons, this is just my general impression)I will try and see if I can lend books through my local library; this may allow me to use it more for it's intended purpose.Overall, the device itself is quite good- just not for what I had intended it for (in store reading- with the option to purchase the book, in print, from the store).If I had purchased the device for myself, however, it would have been returned.  My kids do enjoy reading on it, playing angry birds, watching netflix, etc. so I will keep it for their use.Edit:The nook colours use a usb longer than a standard micro usb; a standard micro usb cable will not charge the nook colour.  I did contact B&N; (I initially took my nooks into a B&N; store for assistance, and was referred to their tech support 1-800 number.  So much for the in store tech support...)  I was able to recieve two new cables under warranty, though.I am generally happy with the tech support provided over the phone, but am still disappointed by the quality of the charging cable, and the inability of B&N; to solve this issue in-store.",certified refurbished nook color,"2,3"
2388,1667,"This product is great and deffinitaly worth the money! You can read books, surf the web, view photos, watch movies, and more! The screen is wonderful! It's so bright and clear, you can see the words practicaly jump off the device. Overall, I am wonderfully pleased with this product!",Great product!,1
2389,1671,Works great. locked up several times when new but seems to have gotten over it. works great for reading a book and has the ability to surf the web but it really is not the best device for it.,Nook Color,"1,3"
114,1672,"I got this as a birthday present and I have been using it constantly ever since.  Reading, games, (although I wish there were more games available that were compatible to my Nook like they have with IPad but oh well...) I love that you can adjust the size of the print so I don't have to fall asleep with reading glasses on anymore in bed =D.  I read my beading tutorials on it, using the folio case accessory you can stand it up and open up a lot more workspace than having my MacBook open on the table taking up valuable space.  I am really happy with it as a first e-reader.",Love my Nook!,1
2390,1673,"I haven't really given up my Kindle (which I love and has its advantages). However, I got a deal on a Nook Color that was impossible to ignore and so I made the jump. If you're wondering if it's worth 2X the price, IMO it depends on your needs and wants. For people who want to create an inexpensive e-reader/Android tablet by rooting the Nook -- or if you love to read periodicals or books with lots of images -- the Nook Color is the way to go.It's surprisingly heavy to hold -- MUCH heavier than my Kindle with a cover. The battery life means you CAN'T be far away from an electrical plugin. My last charge lasted 2+ days with playing games, an animated screensaver and some reading. It's also wireless only.The backlit LCD screen is spectacular and I find it was better on my eyes for reading than I expected. However, I find that finding ebooks on B&N;'s site is harder than Amazon and I cannot find many inexpensive or the oodles of free ebooks like for Kindle. Lots of ebooks promoted on B&N;'s Nookstore are $4.99 - $9.99 or more. Too expensive, IMO. Seems like fewer Indie Authors on there in the $2.99 price range :(I decided to take a chance and rooted my new Nook Color which requires a micro SD card (I used a 2G card). It requires the ability to follow some technical steps that took me about 15 minutes total. I am not a major Geek, but I've been online for 15 years and know basic stuff like HTML (not needed for this) and moving files and some troubleshooting if I get stuck. The Rooted Nook is a bit quirky. While the original B&N; e-reader functionality is still there, I had to install a couple apps (launcher app and Softkeys) to toggle between the Android and B&N; screens.I CAN watch YouTube and surf the web easily. I also downloaded the Amazon Kindle app to my rooted Nook, and read my 100+ Kindle books on it (and get my freebies too!). You can't view Flash or use Hulu or Netflix (yet!), but maybe flash will work with the next B&N; update. note that a Nook Color doesn't have a mic or bluetooth to use with certain Android apps. A bummer for me because I like to dictate texts and emails on my phone using Nuance's FlexT9 app.Overall, my kids **love** the Android side of the rooted Nook Color, and I like getting some useful apps on a much bigger screen. So now we fight over it. Will I get rid of my Kindle -- no way. But I find the Nook Color becoming more my at home reader with the Kindle app on it, and my Kindle device turning into an away from home, travel e-reader.",Moved Over to the Dark Side From Kindle,"1,3,4"
2391,1678,Got this NOOK Color for my 10 year-old daughter as a Christmas gift. She loved it and it blew everything else away.,Made a great gift!,1
115,1679,for the longest time i have been thinking of buying kindle vs nook. i was sold to buying kindle for financial reasons but out of the blue i changed my mind and bought nook instead...so far it's been doing good to me and keeps me company....=),good buy,1
1323,1689,As you know nook is heavily marketed to young kids so you can imagine my shock when my 8 year old daughter clicked on the search icon of her new nook only to see an icon for Glamour magazine to appear with the words \Wild Sex Stories\ clearly visible and asked \what's this?\... We then went back to Barnes & Noble assuming their would be an easy way to remove this icon from appearing each time my young daughter wanted to search for a book on her nook but were astonished when we were told it was not possible to remove.  This is beyond stupid that the icon for Glamour Magazine (which seems to have \Sex\ written all over it's magazine covers) would be displayed right next to the icon for \Nook Kids\.  I hope other parents will buy a kindle until B&N changes this feature.,Inappropriate content displayed to kids - Glamour magazine for my 8 year old daughter???,2
1324,1691,I really wish Barnes and Noble had accepted a return for this product or offered store credit.  I've spent so much time in tech support trying to get this product fixed before just giving up on it.,done with Barnes and Noble,4
2392,1692,"I was looking for an e-reader/tablet for my wife and purchased this one for her for Valentine's Day.I initially avoided purchasing the Amazon Kindle Fire because the reviews online revealed the company's draconian practice of preventing custom software from being downloaded (or modifying existing software) on it. Amazon essentially controls your device, and how you use it, after you pay your money and take it home. You can read the Kindle's reviews (Kindle Fire, Full Color 7\ Multi-touch Display, Wi-Fi) for yourself; many customers have even had purchased books removed from their devices' libraries, against their will, with little or no explanation. Coupled with reviews of cheap, low-grade hardware, it was an easy decision to dismiss Amazon's option.I had read many reviews that touted the Nook Color as a \tablet-killer\ and, unlike Amazon, had embraced the hacker-spirit and all but condoned the practice of downloading custom software onto the device. Full functionality of a mobile Android tablet WAS available on the Nook Color for a period of time (under the 1.4.0 software version). When I read the online reviews and purchased the device, I was unaware that there had been a very-recent software update. It seemed like a great deal at $200 versus the leading, reasonably-priced ($400) Android tablet, theASUS Eee Pad Transformer TF101-A1 10.1-Inch Tablet (Dock Sold Separately)or the leading, unreasonably-priced ($499)Apple iPad 2  Tablet (16GB, Wifi,) NEWEST MODEL... Unfortunately, Barnes & Noble was not as passive as it was, simply, very slow in implementing their own freedom-killing practices. While there are many tutorials and reviews praising the liberating options available to Nook customers on the old software (v. 1.4.0), the most recent software version (1.4.1) effectively killed the choice to customize the software, install Android Honeycomb (or other OS's), or make your purchase your own property.Now I'm stuck with a Nook e-reader, as opposed to the DIY Nook tablet that I had intended the device to be. The \solution\  seems to be adding extra software onto the modified Nook to block OTA (over-the-air) updates from automatically installing; but, I don't think the option to block all future updates is in my device's best interests and I would rather not have to battle with Barnes and Noble just to make MY DEVICE actually do what I want. Personally, I think Barnes & Noble made a huge mistake and sealed their fate as losers in the war against Amazon by their decision to follow Amazon's lead in limiting customers' rights to modify their own property. I don't know why companies choose to do this, or expect customers not to retaliate.I will be returning the Nook and purchasing the Asus Eee tablet. If, financially, you are stuck choosing between the Nook or the Fire, I would definitely recommend the Amazon Kindle Fire. As of the latest software versions, the functionality between the two devices is now exactly the same at the exact same price ($200). The Nook's hardware is, supposedly, slightly better; however, Amazon's clout in the industry more than makes up for any small differences. As an Amazon Prime member, there are also tons of freebies and benefits in choosing the Fire. Amazon's library of media also exceeds Barnes & Noble's in every area (more books, more movies, more apps, etc); being allowed to only purchase electronic media from Barnes & Noble is just not a good option and provides ZERO ADVANTAGE over purchasing media directly from Amazon.",Beware Of Software Version 1.4.1,"2,3,4"
2393,1694,"I looked around for the best eReader as I would be spending a lot of money investing into it. I thought the nookColor was a good choice. I was wrong. The battery life only last 6-8hours. When I went to charge it since it didnt last long every hour it only charged 10-13%. It took me almost 10 hrs to charge. Not cool. I did however like the fact its a touch screen, but.. not having the buttons on the side to turn the pages was annoying. All I did was tap the screen lightly and the page turned, at times it would turn and I didnt want it too. My BIGGEST problem was the screen was too bright. I am the type of person who likes to read before I go to bed. I had my nightstand lamp on, the screen brightness turned all the way down and it was still to bright for me. It made me really sick. Also, it doesnt have 3G so if I am somewhere with no Wi-Fi I couldnt download a book. Big bummer there. so... Its a great idea being in color. I really wanted it to work, but wasnt for me. I ended up returning it for the nook 3G. Its perfect. who needs color.",Too bright for the eyes,"2,3"
2394,1700,"This device is awesome for reading books and playing games like angry birds. The NOOK store is great. I do recommend purchasing an anti-glare screen protector. (It works great in any light, even sunlight, but not at the beach) Books are awesome to read. The screen is a little recessed so you get a cool different feel. The web browser is not speedy. (I would not recommend this product as a replacement for a tablet.) Magazines are a bit wierd on a 7 inch screen but it seems to do well for comic books.  All in all if you want a color ebook for reading the paper,comics, or books in general this is a cheap, great buy.Barnes & Noble NOOK Color eBook",Barnes and Noble NOOK Color eBook,"1,3,4"
2395,1708,"The reviews so far are really good, so I dont need to add more on the actual features. Now did you know that buying directly from B & N, the Nookcolor is actually $249? Also, for those who are concerned about the lcd, dont worry. You can adjust the brightness level. I lower it when I read at night in the dark, and when its daylight and I want more clarity, I can brighten it. You can use literature published in so many digital formats (but not amazon kindle format, which doesnt play well with others), and its just a pleasure to use. Someone mentioned that when you have it plugged for charging and try to type on the keyboard, it doubles the characters. Yeah, been there, done that, true story, so hopefully as they update the software, that will improve, but once you unplug, everything seems to work very nicely. If you want a nice reading environment, I really would recommend the nook color. It makes reading such a pleasure, at a very decent price for the product you are buying. I actually like that it has a tiny bit of \weight\ to it. Now my little droid incredible, which had been my reader til I got the NookColor, feels so...light! Almost TOO light! And...it LOOKS so elegant. I actually prefer having the plastic/metal (not sure what it is actually, but it feels nice and looks nicer) bezel as opposed to the ipad glass to the edge type construction. It gives me a nice place to put my fingers. And get a nice cover for it. B & N has some very nice ones. Yes, some are a bit pricey, but I really think its worth the investment. Mine already has fallen to the carpeted ground when my dog figured I had been reading long enough, and wanted some attention. I was very glad I had it in a cover. However, with the bezel and the rubberized back, I dont think I would have had a heart attack if it fell uncovered. I would never risk that, but it looks and feels as though it could take a bit of a tumble without much trouble, at least onto carpet. It just seems less fragile than the ipad or galaxy tab.  The book collections are extensive, and I also had quite a collection of pdf books which I very easily downloaded. And I LOVE the free trial for the magazines. To discontinue any of them you decide you dont want, you have to log into your online nook account on the B $ N website, and find the \manage subscriptions\ link. Took me a minute to figure that out, so hopefully that tidbit will save you some frustration. But overall, its a wonderful, colorful, very nice user experience. Its an ereader first and foremost, and it does that very well. It just happens to have a few lil extra goodies tossed in to boot! Dont compare it to the ipad. It isnt supposed to BE the ipad! Let it have its own little niche, and I promise you will be as happy with it as I am!",Awesome product!,"1,4"
1325,1712,"am about to get a micro card with android c7 and use it as a reader and tablet.  this let's me get rid of my netbook,nook wi/fi and router which free's up space and let's me use it anywhere in the house.  hope it's a good move.  cape guy",tablet for less,4
1326,1714,"I haven't had a chance to use the NOOK very much yet, but based on what my family members have told me I expect to be very pleased with it.",I like the NOOK,4
116,1717,I bought the Nook for my grandson because he loves reading and get on facebook and netflex all the time. Well we though about the Kindle but knew he would run our bill up so we bought him the Nook thinking we would just upload some free stuff for him. Come to find out you have to have a credit card to even download the free stuff on Nook. It is nothing like the Kindle. I am going to walmart next to see if the visa card the walmart sells will work on it. if not it is a pice of junk to me.,Good product but bad company,"1,3"
117,1726,Gave this as a gift for an avid reader.  She has enjoyed it and often uses it not only at home but for traveling.,Nook Color eReader,1
118,1729,"The nook is a piece of garbage! It freezes constantly and customer service is horrendous!!! I have literally spent hours on the phone with them, without satisfactory results. Please do not buy this! I also have a Kindle-when I had a problem with the device, they fedexed me a new one overnight!",please buy a kindle!!!!,"2,3"
2396,1730,"I got this e-reader after reading how you can root it to become a tablet running the latest android operating system.  Well, I got the Nook and absolutely love it as just a reader but I did add a program via a micro SD card and now I have a really nice tablet as well. For the price this is a great little device.",E-reader to table,"1,4"
2397,1738,"I honestly wish I had never come across this. The Nook itself was a gift (thank goodness) but I've pored tons of into it in the form of cases, apps, books and magazine subscriptions. Now I am trying to find a place that will give me more than $20 for the parts. A sampling of the problems with the Nook Color.1. The screen is backlit and incredibly bright. Even on the dimmest setting, I am rubbing my eyes within twenty minutes. I can't read this for extended periods without getting a migraine.2. One of the major appeals of an E-book for me was cheaper books, as there are obviously significantly decreased costs of production. Titles on the Nook are extremely expensive. I compared it to Kindle prices, and the Nook's were always noticeably more expensive. The cases are pure highway robbery ($35 for a case in store).3. Customer service. They brag one of the main advantages of Nook over Kindle is the customer service. This is false. The people working the Nook booth in my local B&N; have never been too helpful, and I don't like having to drive 15 minutes to a store to ask a basic question. However, whenever I call, there is a long wait time and I never can communicate well with the person on the other end.4. Deceptive advertising. The Barnes&Noble; ad campaigns heavily feature the fact that the Nook Color and HD can play movies, marketing is an alternative to Kindle Fire. The Kindle can download almost any movie from Amazon Instant and stream anytime and anywhere without taking up much memory. Nook can sometimes load Netflix when you had an excellent Wifi connection. When I do have an excellent Wifi connection (like at home) I am going to watch movies on my TV or laptop, not E-reader. The only times I would want to watch movies on my E-reader are say, on vacation or on a long bus ride... when I do not have an excellent Wifi connection. The feature is deceptive and pointless.5. The final straw for me was the magazine system. I have used only a fraction of my Nook's memory, but to save space, the Nook automatically deletes my old magazine issues. If I want to access them again, I have to re-download them, a slow and pain-staking process. And then, within a day, Nook has deleted them all again. When I asked Nook support about this (if I bought those magazines I should have the right to do with them what I'd like) there was practically no response.THIS IS AMAZON. BUY A KINDLE.",Terrible Equipment,"2,3,4"
119,1742,"This is by far the best choice if you're looking for a low priced tablet. I have the iPad, but honestly I feel guilty owning it since I don't want to take it anywhere despite it's Otterbox case. It's too big and bulky to put in my purse and the only reason I got it was to read books and magazines on the larger screen. It doesn't make sense for my purposes especially when I have the iPhone.The rooted Nook Color , however, is perfect. Especially since Amazon doesn't have a color Kindle yet. Great size, fast speed, $150 refurbished price, and I have Gingerbread 2.3 installed on a microSD card so I don't have to worry about the warranty. This is an awesome choice for anyone looking for either a reader and/or a tablet on the cheap.",Root Your Nook!,"1,3"
120,1746,I hope you never have to return your nook for it is a hassel.  This week I have spent over 3 hrs on phone with them and I am still not satisfied with the result.  I bought a nook color a month ago and loved it.  It went out on me and they sent me a refurbished one to replace it.  I told them I did not want a refurbished one.  They will tell you anything to get you off the phone.,b & n does not do what iit tells you,2
