number,id,reviewText:,summary:,Label
438,6298,I bought these because they were cheap and I needed a couple of tapes.  Neither was any good; both came \unraveled\ when I put them in to tape. I've always used this brand but was finding it harder and harder to get VHS tapes......guess I should just give up and start putting everything on a DVD.....,You get what you pay for.......,4
439,6303,"We have a lot of blank VHS tapes we've been reusing over and over for many years, and this is similar in quality to those.Your basic two-hour videotape (six hours on SLP setting) -- still manufactured as they always were. Comes with labels. No complaints!",Standard grade videocassette,1
440,6316,i use this brand because they last me for years. i use them weekly and they have good video and audio qualities.,good quality  tapes,1
441,6320,VHS cassettes are getting harder and harder to find.  When I see a good price I buy a few. This one does the job.,Hard to find Cassettes,1
442,6336,Had old dusty vhs tapes and put in vcr player . When played vhs it said to clean heads.Used the wet head cleaner and vhs tapes played great!,Maxell VP-200 VHS Wet Cleaner,5
443,6341,"I bought this product based on the other reviews.  It seems to work initially, but I've had to use it multiple times to get the desired result.  After about the 3rd use, I've stopped getting the snow effect on my screen. So I guess it really worked.It lasts a long time, and I know how to refill and reuse it. I'm definitely glad I made the purchase and will be able to use it as long as I have and continue to use a VCR.",seems to work okay..,1
444,6355,"My sony needed a dry cleaner, so I did not use this product.  It was not worth returning it as the price was low.",Did not use,2
445,6380,This product cleaned up my picture after two cleanings.  The VCR had been in storage when we got it out.  I use it weekly.,Great Buy!,1
446,6381,"This tape cleaner worked only once, so I definitely wouldn't recommend it to anyone. I'm not really sure it did much good either.",not good,2
447,6446,Exactly as advertised. Easy to use and has cleaned the vhs players that I use for my VHS conversion business.,very helpful product,1
448,6453,I was unable to use the product so called Video Center and they immediately refunded my money and did not require that I send it back.,great customer service.,2
449,6473,but VCRs are getting old and so are tapes. Can only remove so much. Good as far as it goes.,works somewhat,1
450,6486,"The 1st time I used the MAXELL VHS Cleaner, it worked great & I had no problems with it.  HOWEVER, because I was still getting a buzzing noise from my VCR again a week later, I tried the MAXELL VHS cleaner again and it was a DISASTER!!!  This time, the MAXELL VHS Cleaner got STUCK in my VCR and I CANNOT remove it from my VCR after repeated attempts.  I consulted my VCR user's manual and even called the manufacturer, and was told I would have to take my VCR to a repair facility!!!  I can't afford to have my VCR fixed.  This MAXELL VHS Cleaner RUINED my VCR!!!  It is a DVD/VCR player and I can't use either one now!  As another AMAZON.com buyer stated, I should be reimbursed for my DVD/VCR player!!!",Ruined my VCR!,2
451,6492,"I keep these in my computer bag for those days (1-2/week) that I am not in my primary office, where I have a decent pair of phones. First and foremost, they are extremely portable. The case is probably 3-4 inches in diameter, so they'll take up little space. The sound is decent. After 6-8 hours wearing them, though, and inserting/removing numerous times when moving about, the comfort level drops precipitously. Also, the cord is pretty short, so even pushing away from the desk can put you at the end of your tether.  Still, for [X] or less, they are not much of an investment. I am searching reviews now for some 'phones that are going to be more comfortable. I can't imagine I'll find anything more portable.So, for infrequent use, these are fine. For more regular or prolonged use while on the road, I'm going to spend more and hopefully get something more comfortable.","Cheap, Very Portable, But...","2,3"
452,6497,"While this is not always the best to use, in most situations, this provides a richer colored photograph than any of the standard white balances on my 5dII.",Make a huge difference in certain lighting,1
453,6511,"This is my second GPS unit and by far the best, I do not need the in built map function, in some cases my 4WD club goes where no man has gone before.  A great tool for navigating around the sand dunes and scrub in Western  Australia.  Ideal for my hobby which is 4 Wheel driving going away for  weekend just to get lost really.  The trac back feature is fantastic.  Good  in tree cover as well.  Overall very impressed.",Good in the bush,1
454,6522,"The Amazon description says it fits Palm III organizers. When you get the  box, it says it fits a whole bunch of Palm III organizer varieties, but  ofcourse not the color Palm III that I have.The Palm III color is  simply too long for this item to be useful. It is impossible to close the  flap.It did fit my friend's regular Palm III perfectly however, but he  had to take the front cover off first. I would personally want to be able  to keep the cover on, if I was to use this item.",Does NOT fit all Palm III organizers,3
455,6530,It is still interesting to see how popular these devices still are despite being old enough to vote as far as technology goes. But they are.,Palm Three,5
456,6548,"Stop looking and buy this shower radio.  I've been through several alternate brands and have found this to be exactly what I was looking for.  Great reception, sound and loads of features.Cons:  Price",best on the market,1
457,6604,No problems after a month. Seems well made. Controls excellent. Strong tuner. Wire antenna a big plus. Am satisfied thus far.,Sony Shower Radio,1
458,6639,"Great sound, stations come in clear, including AM, which can be a tricky band.  The presets are super, just like being in your car.My only criticism is the weather button, which does not come in clearly often and sometimes not at all.  I will admit I have not completely \unfurled\ the FM antenna, because I move this radio often from the shower to the vanity/sink area and don't want a foot of antenna wire to deal with.",Super Radio,1
459,6650,"I purchased this Sony shower radio last year for my husband.  After one year of everyday use while getting ready for work in the morning, we still have not changed the batteries!!!The radio is kept on the bathrooom vanity, not in the shower.  The reception is excellent!  I purchased this radio based on the reviews from this web site.  I am so glad I did.  It isgreat item.As of Sept.  2007 this radio is still working great!July 2008- still working great.  has been in our bathroom since day one!",Excellent value,1
460,6682,"I love this little radio, and I use it all over the house.  You can program it to your favorite stations.  It has AM, FM (both mono and stereo stations, I believe), TV (channels 2-13, local), and weather radios.  I especially like being able to get the audio to the television channels, if I am working in a room (like the kitchen) when there is something on television that I'd like to see.  I only wish I could get the audio on more channels than just 2-10!I will often have the radio on in one of its functions or another for several hours in a day, and will go a couple of months at least between battery changes.I enjoyed using it when my stereo didn't bring in the radio well because of interference from the VCR with the reception.  It has served me well.If you are looking for a shower radio, this is a great one to get.",Not just a SHOWER radio,1
461,6693,"This radio is impervious to water in the shower, and we love listening to the morning TV news on the radio! I've had one for many years, and we ordered another one to keep in a separate apartment when my husband works away from home. Worth every penny.",Sony Shower Radio is the Best,1
462,6698,"When home, I have the radio on a lot of the day, mainly talk radio.  I bought 2 of this radio in August 2000 (yes, three zeros) and they bit the dust in late 2007.  I got about 7 years of EXCELLENT performance from these radios.  I have 2 because one sits on bathroom sink and goes back & forth from bedroom to bathroom while getting dressed.  The other goes between kitchen and office constantly.  There's 5 presets for AM.  I wish there were more.  There's 10 presets for FM.  One used to be for Howard until he left (a huge Howard fan here who has not gone Sirius) and now I basically only use one for WCBS-FM (when they got smart and realized, in the immortal words of NY Daily News, that they didn't know jack), and the others go unused.  The TV channel part of this radio, I never use and couldn't comment.The radio is excellent.  The controls are responsive, the battery life is very decent, and most importantly, the reception is excellent.The reason my radios now need to be replaced (I just ordered one from Amazon and will try the Sangean for the second) is that the top of the radio is covered in plastic.  After 7 years of pressing the on/off button I'm sure thousands of times, the plastic over the on/off button ate through.  The on/off button needs that plastic over it to work!!  The damn thing won't turn on/off now!!  I tried turning the volume down to zero to \turn it off\ but the batteries do wear out and it's annoying.So I figure that 7 years of constant usage is pretty good and I am not complaining and have even come back for more!In spite of the 7-year life, I still give this radio the highest rating.  Fair is fair, right?  Can't complain about 7 years of perfect performance, can we?  I say no.",A FABULOUS RADIO,"1,3"
463,6699,"This is without a double the 'best' shower radio I have ever owned.  The reception is crisp and clear and I love the pre-programmable stations.  It is also a very attractive radio and so when not in the shower with me, it looks nice sitting on my bathroom counter.  It's very user friendly; no complicated directions.  Perfect for us 50+ technically challenged.  I would definitely recommend this product to everyone.",Great Shower Radio,1
464,6740,"We own 3 of these.  The first one was purchased for me, one of my boys claimed it.  The other asked for one for Christmas and then I bought the last for myself.  They are great.  I have had one for over 2 years with no problems.  I especially like the TV band so I can listen to the news in the morning while applying make-up or getting dressed or ironing...  This floats between my walk-in closet (where I iron), beside my jacuzzi tub and next to my vanity/sink...easy to move, easy to use...  My kids leave theirs in the shower full-time...This is a great gift for the person who has everything.",Love the TV band,1
465,6744,I love this radio.  We use it in the kitchen and I like that it is white instead of the boring black you see all the time.  It looks great on the kitchen counter  You can  also carry it from room to room.  Well worth the money.,Sony Shower Radio,1
466,6772,Reception is outstanding.  Easy to set up stations.  Timed on/off is automatic. Easy to read display. Great sound for a mono speaker.  Battery life is amazing.  Worth the price.  I would happily repeat the purchase if I manage to wreck this radio.Update:  The TV function of this radio is not functional with the digital TV change over.,Great Radio,1
467,6799,"This little radio plays super well, is very clear and unobstrusive.  It's a great buy! Looks good too.",Radio,1
468,6815,A few years ago I was travelling about 130k miles a year so I was constantly on airplanes.  I got a gift certificate as a present and used it to purchase these.  I'm glad I did not \pay\ for these.I was mostly into the ANR on flights.  Sound quality was important but having a turbine 96000 lbs of thrust 15 feet away kind of reduced this to \can I roughly hear what I'm trying to hear without blasting the volume\ as I knew removing all background noise was impossible.So how are they? They are ok but I'd rather have gotten a really good Passive NR set than these ANR headset.  I just don't think they justify the price.Pros:  1 - sufficient ANR for airplanes2 - roll up into a ballCons:  1 - brutally painful as the padding is about 3 millimeters thick2 - painful after an hour3 - lots of plastic construction so you really have to baby them4 - not able to find thicker replacement ear pads5 - painful after an hourI haven't tried the Bose standard headset.  I've used their $1000 aviation headset a few times and they were excellent for ATC but no idea how they are for music though (I didn't have an iPOD to plug into the Cirrus at the time).  I'm sure their standard headsets are excellent but also very pricey.Gerald,Painful,"1,3"
469,6816,"After having used this headphone for a little over a year it has become virtually unusable. The plastic parts started creaking very soon. What seemed to be tolerable in the beginning has become ridiculous now. It is triggered by the slightest movement of the head, the jaw or even by taking a deep breath and sounds like an old ski-boot right on your ear.The shells do not encompass the ears but rather sit on the outer rim of the earlobes. And no, I don't have extremely big ears. That's simply how this headset was designed. Watching an entire film on a plane leaves you with hurting ears. The noise reduction is very good but I'd rather go nuts from the engine noise than wear the Sony MDR-NC20 for the duration of a transatlantic flight.The sound quality with noise canceling switched off is feeble and thin. However with the noise canceling on very satisfactory.Update: Now the cable has come apart and one side of the headphones has gone mute. After careful usage for a little over one year the MDR-NC20 is officially broken. I really wanted to love this thing and I treated it with more careful respect than anyone who actually takes their headphones on the road all the time. I will check out the Bose noise cancelers next...","(two stars!) Mechanical creaking and pressure on ear lobes, not so cool.","2,3"
470,6818,"I travel a LOT. Fly on everything from TurboProps to Airbus A-320's and 757's. I've never been able to sleep on aircraft and lately, my tolerance for noise and screaming kids has gone to near zero. Well, that's what the Sony MDRNC-20 noise cancelling headphones have given me, ..... nearly zero noise on flights. My last two flights (this week) were on two SAAB TurboProp commuter aircraft and two A-320's and I could not hear the engines with these headphones on. I also use a Sony R70 MiniDisk Recorder / Player that was useless, due to in cabin noise, until I bought these headsets. I've tried the Bose (overpriced and cumbersome), Sennheiser and Toshiba units and the Sony's are the best. I highly recommend them for frequent fliers if you want to be able to function at the destination end of the flight. OH! Did I mention that we also use them while cutting grass on our diesel Kubota tractor with 60 inch mower deck and can't hear the tractor noise, but Bon Jovi comes through lound and clear from the Sony CD Walkman. The audio connection cord also has a convenient connector in it so your can disconnect the main lead and just use the headphones for noise reduction. I thought this a very convenient feature for those who want to block out TV noise, kids, neighbors, etc and not listen to music at the same time.It might sound like I'm a Sony fan (which I am) but I'm also an audio engineer and my motto is \Specs first, price second\. I was pleased to find a product that cost over $120 less than Bose and worked every bit as well, .... maybe better.You need a pair of these if you fly a lot or just want some peace and quiet.",Sony Noise Cancelling Headphones are GREAT!,1
471,6820,"I bought these headphones when i was Japan, and have been nothing but pleased. Some things to note:1)They're made of plastic- I expected something better.On the other hand, they fold up into a neat little ball,so they are more breakage resistant that you might expect.Also, the design is great since the noise cancelling equipment is contained within the headphones,not in a clunky external box like other, less styling models (^_^)v Very very sleek and sexy.2)Those of you planning to use these with an MD player/etc. w/ an inline remote should note that while the headphones have a \short cord\the plug is actually a stupidly useless *proprietary* sony design-and the included 1/8th adaptor cord is *very* long; that is to say,you'll end up w/ tons of excess wire you don't know what to do with.There is a short Sony minijack-to-1/8th adaptor which works great,however,I've never seen it sold outside of Japan.I am incredibly happy with these headphones.However,as others have mentioned the sound is so-so.These are perfect for use with MD/MP3 or other compressed sound formats in noisy settings, but not so great for precise listening.But turning on the noise cancelling greatly improves the sound quality and I find that these headphones are more than adequate for all of my needs-combine this with the fantastic design,the awesome noise cancelling ability,a great-bang-for-your-buck value (except for the plastic),and I would highly recommend these to anyone looking for a good noise cancelling headphone.","Fantastic Design, Great NC, but Sound is so-so",1
472,6841,"This little camera can fight right in your packert, so take it anywhere. It also takes great pictures. It has a lens adjuster and a camera case that it fits in perfectly. I would defenitly reccommend it.",Big Things Come In Small Packages,1
473,6846,"I received my Elph as a gift in 1999.  Shortly afterward I took it on vacation.  It was so easy to use; I could switch film while riding a bike!  I got just about to the end of the third roll of film when the &quot;dreaded H&quot; reared its ugly head.  Following the manual's advice, I took out the battery, replaced it, and... it rewound/exposed the whole roll.  Since it was under warranty, we took it to the camera shop to have it repaired.  The owner told us he got this problem with Elphs a lot, and if we had this problem again, we'd be better off purchasing a new, different camera than paying to have it fixed.While it worked, I took the best photos of my life... crisp, clear, gorgeous!I used that camera without a problem until early this year when the &quot;H&quot; returned.  For a while I was able to reset it.  Then it started eating brand-new rolls of film.Part of me really wants to buy another one because it took such great pictures and was so fun to use.  But the practical side of me thinks it's an awful lot of money to spend on a disposable camera.",LOVED it! -- while it lasted...,1
474,6848,"I have owned the Original Elph now for almost three years.  As far as picture quality it has never let me down.  I have not experienced the &quot;dreaded H&quot; syndrome yet, but I can tell you about a year ago the automatic pop up flash started malfunctioning and now I have to manually pop it up.  As for the overall rating, I give it a 4.  It's reliable, compact, and takes wonderful pictures.  I love the choice in picture size too. I have decided to get the Elph for my parents as a Christmas gift, I will however buy the newer Canon model, it had better ratings.",Cute Camera!,1
475,6864,"I received this camera as a gift 2 and a half years ago and loved it during most of that time. The problem with this camera is that once the warranty expires, the camera will soon follow! It started flashing 'H' (meaning the camera no longer works) shortly after the warranty expired. Good luck getting any help from Canon, after months of trying, they wouldn't help out at all. They won't even tell you what is wrong with it unless you agree to pay them for repairs! Search the web and you'll find this happens to everyone. This camera is junk and you should avoid it like the plague...",Buyer beware of this camera!,"2,3"
476,6920,These are the old tape types for thesony handicam 8mm and Hi8 camerastried all the local haunts wher I expectedto find them to no avail.I had recieved this camerafrom friends that no longer used it and I thoughtI may be out of luck. But as ususalAmazon had them . They shipped in notime. This allowed me to try the newcamera out and it works now just like newgreat tapes,Old Style,5
477,6924,"I bought a PalmIIIx about 6 months ago and I have been very dissapointed.  Don't get me wrong... in principle the ability to store and beam addresses &amp; business cards, manage my calander, securely store network passwords  is great!  When the unit was working I loved it.  However, after about  three months of ownership, I began loosing all my data at random  internvals, forcing me to revert back to my last sync with my computer. I  would turn the unit on and all my data was gone... evern with fresh  batteries.  Palm was not able to diaganise the problem... just telling me  to re-set it again... duh.  The last time this happened the unit went  completely dead. It could be that I just had a bad unit.  However, I would  advise other Palm purchacers not to store any critical data on the unit. As  for me, I would not buy another Palm product.",It's Dead Jim!,"2,3"
478,6937,"The Palm iii is a great product, and the Palm iiix is definately worth the extra money if you run Outlook on your PC - within days you'll wonder how you ever lived without it.  But it is fragile - really fragile.  I've dropped my mobile phone on countless occasions, likewise my calculator, and  even my lap top once or twice.  And they all lived to tell the tale.  Drop  your Palm once, and you can be looking at a cracked screen and - Wham!  $100 replacement fee.  What's more, you can be waiting 3-5 days for a  replacement to arrive.  So if you're anywhere near as clumsy as me - buy a  case, and be very careful when you're taking it out",Handle with Care!,"1,3,4"
479,6941,This was the first PDA I had ever purchased and I was unsure if the product would meet my needs.  After reading all the reviews I decided to purchase the Palm IIIx...and I have to say that the product more than lives up to the reviews.  It is easy to use and has more than enough features for  the standard user.  I wonder why it took me so long to purchase one after  using my Palm IIIx.  I would recommend this product to anyone.,For a first purchase...this is the one,1
480,6955,"I have owned a Palm IIIx for over a year.  I cannot live without it.  But, it has it share of problems.  Lines have appeared on the screen but were cleared up with a hard reset.  I have had to replace the unit once (free of  charge).  It is fragile.  My screen broke (but I have not lost any data)  when it hit my cell phone in my purse.  I am buying a protector for it.  I  have it hooked to Aventgo and read the Wall Street Journal and NY Times  daily.  I recommend it to anyone.",palm 3x is great,1
481,6960,"I bought Palm IIIx last semester. It was very helpfull for me. I was able to keep track of all my home works, and dead lines. This think actually pumped up my GPA! . If you are a student, just go for it. Its very easy to use, and has a lots of free applications and games in the internet. Even  better this thing has a flash rom, which means the OS is upgradable(The  upgrades are also FREE in the net), not only that you can also share  information with other Palm III, V or VII Organizers through the IR  transmitter. For this price you can't get any thing better.",A great Organizer for Students,1
482,6961,"I have one of these TV's and they are amazing, perfect picture and good  reception. Also they are very resonably priced and, the small size lets it  go just about anywhere. A great buy!","A great small TV, thats well worth the money",1
483,6966,"I bought the 1.8&quot; version of this set at a great discount here on Amazon.com and I am quite pleased with it.  The active matrix LCD display ads depth and contrast to the picture comparable to tube portables.  The metal stand in the back puts the set at just the perfect viewing angle for  desktop use.  The shape of the case is stylish and easy to hold when  carrying the set about.  The jacks for AV input, Ext. Antenna, and earphone  mean this set can be connected to just about anything but it is best used  as a battery powered carry around portable.This set has only two notable  flaws.  First, the color, while quite vivid, tends to be slightly green.  Second, the tuning circuit could do with an additional RF amplifier stage  to overcome the slightly snowy reception on all but the strongest channels.  The tuner is a little slow to start scanning when the set is switched on  or when changing from VHF to UHF and it easily passes over some stations  requiring you to back up the tuning bar to lock onto the channel.  Once  tuned in, the signal quality is consistent.  I hope in subsequent versions  of this set RCA decides to upgrade the tuning circuits and set the hue more  accurately or porvide a customer control for color.On the whole this is  a good product that should provide many years of dependable service if you  don't mind the temperamental tuner.  This TV is second only to the Sony  Watchman which is still the standard in miniature television.",Great TV but Iffy Reception,1
484,7001,"I used this DVD player for approximately four months before it began experiencing occasional glitches (the Bug's Life DVD was one of those affected). Its performance was unpredictable in that some DVDs it would  play flawlessly and others it would simply not play. Most irritating of all  was that it was developing a nasty habit of partly playing movies and then  shutting down just as the conclusion was drawing close. Needless to say,  it's in the shop for the second time (the first time it came back with a  clean bill of health, yeah right). The warranty is only three months parts  and labor, so any work is coming out of pocket. Also, I found the remote  for this unit clumsy and innefficient. My advice, spend more, you'll get  more.",You get what you pay for.,2
485,7029,"Broke the second day, need I say more?",Bad buy,2
486,7036,"Not only is RCA one of the best companies to buy from but this product  really shows it! With an Fm tuner(hard to find on portables) and a 45  second anti-skip, I'm surprised it hasn't sold out yet. I don't know about  you but I think I'm gonna buy another one as a gift. One particular reason  I love this is because of the low price. How many times daily do you see  somethin like this for only 80 bucks? Not very often. I take the bus a lot  and this is perfect for those times you get forced to sit in the back where  the bus does nothing but go up and down for hours and it makes your player  skip every 5 seconds, well this one has no problem with that as it can  store 45 seconds of the song. This is a necessity for everyone and I  suggest you buy this item asap.",Awesome!,1
487,7059,I am very pleased with this radio.. I read the reviews before purchasing it and they were very positive. It's small and light weight.. Great for the beach...Really sounds good for a small radio. I recommend this radio very highly. You won't be dissapointed .. The price is great too. Thanks..,Great little radio....,1
488,7069,All of the positive reviews are deserved.  Best little radio you can buy for the price.  It has worked flawlessly.,Great little radio.,1
489,7071,"After reading the reviews I thought I'd try two of them.  One for the basement shop which is a notoriously poor reception area, and one to bring to sites when it's not convenient to lug the big Milwaukee job site radio.Basement radio gets more stations with less static than the previous three I tried (all considerably more expensive)The other one has performed equally as well at various locations.  I tune mostly to AM stations, but FM seems to work well too. Tucked it away at the jobsite one day, came back next morning and it had paint spatters all over it. I learned a valuble lesson 'never trust painters'. Still works as well as ever though!Don't get me wrong. It's little, light, all thin plastic and defnitely Not built for a jobsite radio. It can't compare to the Milwaukee, Bosch, or DeWault for durability nor sound quality.  But for $10 I can't be more impressed.",definitly better than expected,1
490,7077,"A few months ago, I wrote a review on this very good performer. I have yet to change my mind or the batteries, for that matter. It is annoying to have to tune, perhaps and devoid of extras. But it does the job with clear reception and good tone.I use this model every day. It is durable and an excellent value.",follow-up review,"2,3"
491,7083,"Being one of those people that likes to chase late-night AM signals, I was convinced that this was a radio I had to have. I was a bit disappointed in some areas, but still see it as something good. This radio is big. Period. Once loaded with \D\ batteries, it can be used to tone those upper arms during long listening sessions. Quality control seems to vary from set to set, but a few things off the bat that I found were awry for my $50 were:1) Build quality. The switches and dials seemed on the flimsy side, with the chrome finish easy to rub off.2) Dial Markings. For claiming to be a \DX Machine\ both AM and FM fequency marks are more for wishful thinking than accuracy. Best bet is to find your local stations and re-mark the dial with whiteout or tape and the actual frequency re-written by hand.3) Audio. For using a large woofer,tweeter, and separate bass and treble controls, the audio quality could be better than it is. It still sounds good, but should be better.On the plus side:1) AM reception is fantastic. By turning the radio to null signals, I was able to pick up a small local on 1040 AM near Rochester, NY, then turn it again to cleanly pick up another station on 1040 AM in Salt Lake City. The wide/narrow setting helps greatly in picking stations from the weeds2) FM reception is quite good. Picking up low-power locals and larger 75+ mile stations is no problem for this unit. I didn't realize there were so many FM's around until I purchased this radio3) AC power cord. Fits neatly in the back of the radio (albeit a bit cramped), and having its own power supply instead of an adaptor eliminates any humming while trying to find faint signals.Although not quite as good as its predecessor the SuperRadioII, it does what it is designed to do - allow good reception of AM and FM without any bells or whistles to get in the way.If you can find it discounted, then pick one up and listen away. Otherwise, there are better choices to be found in this price range.",A Good 5-Cent Cigar For Only 7 Cents,"2,3"
492,7088,"I was looking for an AM/FM radio that could pull in distant AM stations, especially for baseball broadcasts, at least as well as the radios in my two cars--which work pretty well.  I had hopes for this model (mine is branded GE, but it's the same as the RCA version), but it has been rather disappointing.  This is a good radio for listening to local news and other talk radio, and it puts out substantial if not refined sound for listening to music on FM, so it's particularly good for when I'm working outdoors or in the garage.  Unfortunately, it's not easy to tune distant AM stations precisely, and the unilluminated tuning display is difficult to read in dim light.  Battery life with this radio seems to be very good, one of the best features of this model.  It also seems to be fairly sturdy, having survived a 3 ft. fall to the floor.  When it comes to AM radio reception, there are probably a few better models on the market--at least I hope there are--but they will probably cost more.  If cost is not a big issue, a radio that has an illuminated digital tuning display, along with equal or better reception, should be more satisfying.",Mostly mediocre,"2,3"
493,7122,"Nice AM reception.  FM is surprisingly poor.  The building I'm in makes it difficult, but my old el cheapo radio had better FM.  So for me bottom line, great for AM, so so for FM.",Superradio?,"2,3"
494,7124,"I bought this radio to listen to FM while working in and around the outside of my house.  Unfortunately, the radio drifts from the strong local FM station that I listen to, even when the station is \locked\ with AFC.  I have to re-tune it approximately every two hours, and sometimes more frequently.  Very annoying!  Not what I expected.  It's not great at reproducing classical music, either.  Other reviewers have commented favorably about this radio's AM long distance reception and voice reproduction capabilities.  However, I bought it for the other half of it's function: FM reception . . . which is disappointing.",Half a radio?,"2,3"
495,7128,"This radio is great! It does everything it was advertised to do.It doesn't have the bells and whistles of the digital radio, but if you are having problems pulling in long range AM stations, this radio is the one. I took it with me on vacation. Even the FM stations comes in every clear and the sound is fantastic. I plan to buy another one and give as a gift this Christmas. This radio is excellent for this price. Do not be afraid to purchase this radio.",GE Super Radio III,1
496,7134,"The company sent a replacement product, and I returned it. They were good about taking it back when I returned it","Not as represented, I returned it",5
497,7162,"My first Superadio III was purchased in late 1993 (...) The FM sensitivity was great as I could pick up weaker stations from Cookeville and Livingston, Tennesssee from my house in Murfreesboro (80 to 95 miles). The same could be said in the other direction Huntsville Alabama and Chattanooga. On AM, I received Louisville, KY and Memphis, Tennessee in the daytime (200+ miles) and Cincinnati, Chicago, Des Moines, Detroit, and New York City by night. Sound quality was VERY GOOD and tuning was generally accurate for an analog dial.Earlier in 2004, I bought a second one. (...)  No substantial changes from appearance or sound performance are noted.  However, tuning distant stations seems a bit more difficult with the newer radio.  Also, tuning contains more inaccuracies on AM.  Furthermore, plastic knobs seem more flimsy which means they must be treated with extra care to avoid breakage and premature wear.Both radios are manufactured in China, so it is possible they may have come from the same factory. My eleven year old GE Superadio III, in my judgment, has the better overall quality.Verdict: if a no-frills radio (e.g. no dial light, digital presets, or shortwave) is what you desire, look no further. It is the best value around and produces excellent sound. If one is particular about dial tuning and cabinet durability, examine carefully and buy from a store that has a good return policy as an exchange may be required to get a accurate tuning dial.  If a high end radio is what you desire and need, consider a CC Radio or a Bose Wave Radio (about $169 and $349, respectively) over the Superadio III.","A good overall value, but be careful which batch you get.","1,3"
498,7163,"I've been a \DX'er\ (distant signal listening nut) for forty years and I cannot say enough about the GE SUPER. At home I constantly listen to NPR talk radio and so have five of these suckers. Two for the bathrooms, one for the bedroom, one for the garage, and one for gardening/yardwork. At the price, what the hell!Bought my first one twenty years ago for truck camping in NE Canada. Since, have camped in the way-out reception areas of most of the USA and a fair piece of Canada. When it's just you and the  Poodle dog (and a couple of sixers), camping out at midnight on some godforsaken' 4-WD logging road in the mountains, it can feel spooky lonely and you want to hear another human's voice...this is the ticket.Why's it so got such amazing reception? It's sophisticated circuitry was developed back when there weren't nearly as many broadcasters as now, and consumer's (many being quite rural) wouldn't buy a piece of scheiss as they nowadays do.Why's it so cheap for it's performance? The expensive design of the electronics, albeit cheap form factor, long ago paid for themselves; now it's just stamp out the same old product without ever having to update your radio just for appearance's sake. This is the same reason why the second best portable radio, the Sony ICF 2010 AM/FM/LW/MW/SW, can be sold for such a low price (if theye're still being sold).What makes it great? The sound's really superb at low to relatively high volumes and you don't miss stereo at the short distances you'd normally listen at. Whomping woofer and tight tweeter; better to put your value upon a higher quality mono speaker system than a lesser sounding stereo setup.The six \D\ batteries seem to last forever. Plus, these mega-reception puppies are tough. My twenty year old model, area of manufacture unknown as I long ago glued 1/4\ foam all over it so I could just throw it in the back of my truck, can't be determined. Incidentally, this radio once fell seven feet from a storage shelf onto the concrete floor of my workshop; still works great, 'tho I had to find a new antenna.Don't know about these Chinese Model III's being advertised re. reliability. My second oldest radio was made in Indonesia and is fine, while the last three just say \China\ (Taiwan or PRC?) and also work fine although they haven't been field tested to the extent of the first two.The clunky knobs and manual tuning are fantastic! The human ear is better than a signal strength meter, with the constantly varying signal strength of distant AM stations. With manual, you can pinpoint the area of best reception without being locked into the overly large digital \channel steps\ of 10 kHz as used here for the N & S Americas. Much more but Amzn's space won't allow.","AM reception, absolutely the best! FM, nearly as good.","1,3"
499,7183,"and I bought one for my dad also. The thing I like about it is it pulls in the AM stations very well. I listen to a lot of talk radio in the office and the other *cheap* boom box type radios cannot cut through the computer generated RF but this one discriminates and I can hear the stations. Also, the large speaker works wonderfully for rich sound better than most stereo boxes. It is also very inexpensive. I would recommend to anyone.",I've had this radio for a few years...,1
500,7185,"A good value. We live in an area with poor radio reception and this radio gets gets many more stations then the others we have at home. It's reception is best when plugged into an outlet as opposed to using battery power, however it is effective under any power source. Not beautiful to look at, but it does the job well. I now own two of these radios.",GE Super radio,1
501,7196,"If you are going to buy this radio, make sure you purchase it from a retailer with a good return/exchange policy. The unit I got absolutely blew! I got better AM reception with my $7 clock radio on my nightstand.",Must be a Quality Control problem......,2
502,7216,"This baby is about the size of a couple of laptops stacked and turned on edge. It's hard to miss almost anywhere you put it, and probably too big to look OK on your desk.But the sound is huge and there is much less AM buzzing (pretty much none!)than I've experienced with the half-dozen other radios I've tried in my house over the years.I listen to just two AM stations, so tuning has not been a problem for me.The Superadio has a plug coiled out of the way in the battery compartment, so you have it if you need it. And since this is no Walkman, you may find yourself able to plug it in more often than you might expect.","Bigger than I expected, and great AM reception","1,3"
503,7233,"Very sensitive radio on AM, widely considered the best buy for the money by far.  Very popular in prisons because of its daytime distance performance.Sound is top rate.Dial calibration is poor but you can  get used to it.It's exactly as sensitive as the CCRadio at $160 with  much better sound than the CCRadio.  Lacks only the CCRadio's digital  tuning.  Sorry, Art Bell.","Great long-distance daytime AM Radio, great audio",1
504,7244,This is the second one that I have. Great for those who require long-distance reception.,Great Radio,1
